drug,protein
U5,4953
U5,6647
U5,5578
U5,5579
U5,5582
U5,5590
U5,8972
U5,207
U380,27349
U380,2194
U380,50506
U380,1437
U380,3567
U380,847
U380,6647
U380,2539
U380,2936
U380,7157
U380,5300
U380,8972
U380,2152
U380,58157
U380,43
U380,7299
U380,5770
U380,2694
U380,2548
U380,2538
U380,5468
U380,596
U380,7422
U380,4851
U380,51135
U380,7097
U380,3067
U380,5599
U380,590
U380,5594
U380,4790
U380,5816
U380,4780
U380,1559
U380,3208
U380,1499
U380,5562
U380,4128
U380,3576
U380,5604
U380,5605
U380,8682
U380,7001
U380,2026
U380,3725
U380,3558
U380,5970
U380,4792
U380,7852
U380,5728
U380,64400
U380,2048
U380,25897
U380,4313
U380,4318
U380,316
U380,207
U380,572
U380,5465
U380,9370
U380,4547
U380,3156
U380,8435
U380,2099
U380,2100
U380,151056
U380,4843
U380,1645
U380,2805
U380,18
U380,54658
U380,1588
U380,338
U380,5595
U380,3949
U380,6720
U380,2950
U380,1066
U380,6646
U380,4363
U380,836
U380,5311
U380,5579
U380,8989
U380,7124
U380,3586
U380,728411
U380,1277
U380,6584
U380,5130
U380,834
U380,116236
U380,55937
U380,7534
U380,200186
U380,2980
U380,3416
U380,2736
U380,3552
U380,1137
U380,1543
U380,162514
U380,3553
U380,3565
U380,5625
U380,79054
U380,4353
U380,196
U380,7442
U380,5222
U380,4582
U380,5743
U380,1545
U380,1429
U380,27032
U380,1244
U380,7222
U380,5530
U380,240
U380,4129
U380,942
U380,10495
U380,55107
U380,3320
U380,2346
U380,3291
U380,3481
U380,653509
U380,11104
U380,135
U380,4852
U380,6648
U380,26503
U380,1571
U380,1576
U380,1544
U380,3596
U380,2208
U380,581
U380,4502
U380,598
U380,4609
U380,7042
U380,7043
U380,5617
U380,54822
U380,54600
U380,558
U380,1080
U380,2353
U380,467
U380,4360
U380,10062
U380,1557
U380,3690
U380,3309
U380,7018
U380,4088
U380,4023
U380,5644
U380,885
U380,4435
U380,2168
U380,5948
U380,627
U380,4915
U380,5467
U380,1401
U380,7351
U380,2064
U380,3651
U380,6514
U380,3630
U380,118429
U380,5444
U380,5066
U380,5328
U380,5340
U380,2596
U380,6319
U380,1906
U380,7352
U380,7011
U380,5054
U380,2641
U380,1071
U380,5697
U380,2028
U380,23549
U380,2171
U380,4322
U380,4440
U380,360
U380,366
U380,2740
U380,4314
U380,3906
U380,6776
U380,6777
U380,356
U380,841
U380,1026
U380,8797
U380,5916
U380,3383
U380,4878
U380,5443
U380,3934
U380,4879
U380,7941
U380,6347
U380,4776
U380,5034
U380,3689
U380,5447
U380,3569
U380,728
U380,6915
U380,3037
U380,10544
U380,59
U380,1432
U380,57787
U380,7040
U380,9971
U380,2335
U380,23621
U380,355
U380,100
U380,2475
U380,23411
U380,4312
U380,10598
U380,3551
U380,8644
U380,3162
U380,983
U380,6590
U380,5709
U380,6772
U380,8856
U380,9970
U380,7412
U380,6401
U380,3643
U380,6517
U380,2944
U380,2946
U380,7498
U380,2101
U380,50943
U380,329
U380,330
U380,7082
U380,659
U380,6197
U380,5341
U380,55968
U380,90550
U380,9075
U380,653361
U380,4973
U380,55244
U380,5609
U380,6348
U380,941
U380,6356
U380,1232
U380,3620
U380,896
U380,3692
U380,6622
U380,3500
U380,919
U380,4775
U380,2147
U380,727
U380,718
U380,6790
U380,6198
U380,5550
U380,10215
U380,1728
U380,842
U380,279
U380,2224
U380,8877
U380,1269
U380,283871
U380,10135
U380,1268
U529,637
U529,841
U529,842
U529,836
U529,50507
U529,1535
U529,4843
U529,9290
U529,2841
U529,1543
U529,2902
U529,627
U529,2830
U529,1557
U529,5243
U529,4353
U529,6776
U529,6777
U529,5468
U529,51393
U529,1268
U529,9429
U529,6774
U529,2827
U529,1576
U529,3350
U529,1565
U529,2835
U529,1269
U529,5733
U529,7039
U529,7422
U529,94033
U529,4891
U529,79901
U529,7296
U529,7040
U529,9962
U529,4899
U529,4973
U529,56729
U529,5743
U529,1294
U529,1571
U529,15
U529,4544
U529,1742
U529,4313
U529,7076
U529,2353
U529,43
U529,7054
U529,3791
U529,5594
U529,2625
U529,3558
U529,3565
U529,3567
U529,3596
U529,1392
U529,5443
U529,1509
U529,1813
U529,207
U529,2100
U529,1544
U529,1545
U529,79054
U529,5222
U529,4582
U529,5970
U529,196
U529,1429
U529,27032
U529,1244
U529,7222
U529,162514
U529,5530
U529,240
U529,4128
U529,4129
U529,942
U529,10495
U529,55107
U529,760
U529,316
U529,9619
U529,10257
U529,595
U529,51191
U529,1017
U529,1019
U529,54207
U529,2720
U529,5321
U529,6403
U529,7132
U529,7133
U529,9536
U529,2539
U529,218
U529,80142
U529,4846
U529,5728
U529,5536
U529,5175
U529,19
U529,3776
U529,217
U529,7351
U529,1071
U529,1278
U529,715
U529,5579
U529,1950
U529,347
U529,2149
U529,7223
U529,6647
U529,6608
U529,5595
U529,1958
U529,1066
U529,6714
U529,1969
U529,7534
U529,4780
U529,5319
U529,7498
U529,5742
U529,6337
U529,9311
U529,59341
U529,3620
U529,6456
U529,7431
U529,7291
U529,959
U529,8837
U529,598
U529,4170
U529,331
U529,248
U529,4792
U529,572
U529,3480
U529,1588
U529,3091
U529,2932
U529,3692
U529,7157
U529,1029
U529,862
U529,983
U529,890
U529,891
U529,1026
U529,581
U529,54205
U529,10598
U529,4193
U529,596
U529,10197
U529,2538
U529,3630
U529,324
U529,3162
U529,3383
U529,2206
U529,2208
U529,5925
U529,7226
U529,2099
U529,31
U529,8644
U529,894
U529,1021
U529,9521
U529,4953
U529,5709
U529,6528
U529,5328
U529,5054
U529,4318
U529,486
U529,79719
U529,8517
U529,3725
U529,7124
U529,4312
U529,367
U529,3458
U529,3643
U529,6517
U529,29880
U529,6203
U529,1586
U529,1589
U529,3065
U529,51478
U529,2167
U529,6319
U529,7852
U529,952
U529,1803
U529,1025
U529,3569
U529,7099
U529,3586
U529,6513
U529,5465
U529,3717
U529,4790
U529,1432
U529,728
U529,9446
U529,558
U529,3290
U529,292
U529,8795
U529,4609
U529,4586
U529,3181
U529,9518
U529,1147
U529,3308
U529,6615
U529,3576
U529,8797
U529,29126
U529,10026
U529,8850
U529,6098
U529,355
U529,3931
U529,10280
U529,5610
U529,728411
U529,1277
U529,6584
U529,5130
U529,7097
U529,834
U529,116236
U529,55937
U529,200186
U529,2980
U529,3416
U529,2736
U529,3552
U529,1120
U529,5598
U529,3297
U529,5770
U529,7299
U529,3553
U529,407029
U529,55872
U529,7137
U529,3551
U529,4851
U529,4878
U529,3934
U529,4879
U529,7941
U529,6347
U529,4776
U529,8989
U529,949
U529,2641
U529,60
U529,7726
U529,5111
U529,6927
U529,3172
U529,213
U529,2194
U529,57787
U529,5591
U529,7442
U529,317
U529,1267
U529,5354
U529,4155
U529,9295
U529,9046
U529,5599
U529,100506658
U529,3703
U529,7350
U529,4023
U529,5644
U529,885
U529,4435
U529,2168
U529,5948
U529,3156
U529,4915
U529,5467
U529,1401
U529,2064
U529,3651
U529,6514
U529,847
U529,118429
U529,5444
U529,5066
U529,5340
U529,2596
U529,1906
U529,7352
U529,7011
U529,5697
U529,6646
U529,2028
U529,23549
U529,2171
U529,4322
U529,8972
U529,4440
U529,360
U529,366
U529,2740
U529,4314
U529,3906
U529,1717
U529,108
U529,351
U529,83540
U529,332
U529,840
U529,1956
U529,4233
U529,2950
U529,7150
U529,7153
U529,29110
U529,246
U529,9212
U529,22882
U529,142
U529,406986
U529,9075
U529,4088
U529,7443
U529,3320
U529,3146
U529,373156
U529,135
U529,5581
U529,7015
U529,23410
U529,2078
U529,5764
U529,406921
U529,9734
U529,2475
U529,2322
U529,3605
U529,134
U529,2580
U529,6667
U529,339221
U529,1375
U529,10013
U529,1139
U529,10400
U529,60674
U529,7424
U529,1119
U529,1137
U529,4316
U529,1134
U529,1132
U529,8877
U382,728
U382,7442
U382,59341
U382,4792
U382,4780
U382,7296
U382,5970
U382,3661
U382,7099
U382,5743
U382,3456
U382,8989
U382,890
U382,595
U382,1017
U382,1019
U382,5925
U382,3692
U382,6774
U382,5594
U382,2355
U382,596
U382,5599
U382,5222
U382,4582
U382,4843
U382,1543
U382,1545
U382,196
U382,1429
U382,27032
U382,1244
U382,7222
U382,162514
U382,5530
U382,240
U382,4128
U382,4129
U382,942
U382,10495
U382,43
U382,55107
U382,959
U382,3565
U382,8837
U382,598
U382,4170
U382,331
U382,248
U382,207
U382,572
U382,3480
U382,842
U382,1588
U382,3091
U382,2932
U382,7422
U382,7157
U382,1029
U382,862
U382,51191
U382,983
U382,891
U382,1026
U382,581
U382,54205
U382,10598
U382,4193
U382,10197
U382,2538
U382,3630
U382,324
U382,3162
U382,3383
U382,2206
U382,2208
U382,3596
U382,7226
U382,2099
U382,31
U382,8644
U382,894
U382,1021
U382,9521
U382,4953
U382,5709
U382,836
U382,6528
