symptom,protein
C0022541,6392
C0022541,56997
C0022541,55605
C0022541,644096
C0022541,10381
C0022541,291
C0022541,401
C0022541,4509
C0022541,10939
C0022541,5428
C0022541,6389
C0022541,4099
C0022541,1890
C0022541,3552
C0022541,4885
C0022541,50484
C0022541,3553
C0022541,6314
C0022541,56652
C0022541,26278
C0022541,9377
C0023530,7454
C0023530,1806
C0023530,1440
C0023530,79650
C0023530,2214
C0023530,6901
C0023530,7066
C0023530,1441
C0023530,1437
C0023530,84522
C0023530,11311
C0023530,92579
C0023530,2215
C0023530,2056
C0023530,7852
C0023530,10456
C0023530,4254
C0023530,7150
C0023530,81570
C0023530,54658
C0023530,356
C0023530,2542
C0023530,1991
C0023530,57126
C0023530,157680
C0023530,2672
C0023530,3562
C0002103,3269
C0002103,3567
C0002103,3497
C0002103,240
C0002103,3596
C0002103,6037
C0002103,55153
C0002103,26762
C0002103,3565
C0002103,7432
C0002103,8288
C0002103,3383
C0002103,3458
C0002103,2206
C0002103,7412
C0002103,4803
C0002103,3827
C0002103,3606
C0002103,6356
C0002103,3566
C0002103,2302
C0002103,3576
C0002103,3586
C0002103,4353
C0035455,3269
C0035455,4852
C0035455,3567
C0035455,3497
C0035455,2908
C0035455,7356
C0035455,3596
C0035455,6037
C0035455,54106
C0035455,5443
C0035455,55153
C0035455,3565
C0035455,7432
C0035455,6352
C0035455,8288
C0035455,3383
C0035455,7442
C0035455,7412
C0035455,4803
C0035455,3827
C0035455,10800
C0035455,6356
C0035455,3566
C0035455,2302
C0035455,3576
C0009806,1650
C0009806,5290
C0009806,2314
C0009806,2313
C0009806,259232
C0009806,779
C0009806,360
C0009806,5443
C0009806,5621
C0009806,6391
C0009806,10892
C0009806,4292
C0009806,27086
C0009806,1482
C0009806,3190
C0009806,7432
C0009806,6531
C0009806,6663
C0009806,4210
C0009806,6340
C0009806,6792
C0009806,6389
C0009806,2956
C0009806,9968
C0009806,330
C0009806,9632
C0009806,3492
C0009806,51085
C0009806,54551
C0009806,5378
C0009806,627
C0009806,50506
C0009806,6557
C0009806,6863
C0009806,846
C0009806,5449
C0009806,8022
C0009806,7337
C0009806,885
C0009806,6899
C0009806,1294
C0009806,4988
C0009806,10743
C0009806,796
C0009806,3815
C0009806,8514
C0009806,6925
C0009806,6336
C0009806,2556
C0009806,6299
C0009806,3845
C0009806,26608
C0009806,3508
C0009806,6390
C0009806,6750
C0009806,1131
C0009806,5697
C0009806,5498
C0009806,5395
C0009806,8929
C0009806,7068
C0009806,6609
C0009806,546
C0009806,6869
C0009806,3359
C0009806,6335
C0009806,7201
C0009806,554
C0009806,429
C0009806,3758
C0009806,6496
C0009806,4001
C0009806,2969
C0009806,2290
C0009806,4902
C0009806,6239
C0009806,2862
C0009806,2641
C0009806,10847
C0009806,22909
C0009806,4922
C0009806,210
C0009806,4295
C0009806,7048
C0009806,359
C0009806,2006
C0009806,7148
C0009806,2520
C0009806,5626
C0009806,6338
C0009806,4436
C0009806,5428
C0009806,9569
C0009806,4312
C0009806,4072
C0009806,1717
C0009806,1890
C0009806,6535
C0009806,4929
C0009806,1644
C0009806,9965
C0009806,5444
C0009806,27030
C0009806,7038
C0009806,3145
C0009806,1910
C0009806,7276
C0009806,7252
C0009806,4204
C0009806,10512
C0009806,2033
C0009806,9860
C0009806,5156
C0009806,4952
C0009806,8915
C0009806,672
C0009806,421
C0009806,7200
C0009806,7849
C0009806,3360
C0009806,5095
C0009806,9378
C0009806,4852
C0009806,7067
C0009806,7290
C0009806,5096
C0009806,9031
C0009806,2812
C0009806,5982
C0009806,1889
C0009806,1674
C0009806,5979
C0009806,2132
C0009806,3984
C0009806,673
C0009806,2316
C0009806,11280
C0009806,1312
C0009806,473
C0009806,1497
C0009806,6497
C0009806,6528
C0009806,8820
C0009806,2563
C0009806,1103
C0009806,1387
C0009806,1908
C0009806,6532
C0009806,7461
C0009806,9627
C0009806,249
C0009806,7253
C0009806,1181
C0009806,7132
C0009806,1371
C0009806,2668
C0011991,641
C0011991,3543
C0011991,26873
C0011991,1030
C0011991,1811
C0011991,1174
C0011991,6948
C0011991,4683
C0011991,50943
C0011991,1593
C0011991,929
C0011991,2717
C0011991,4210
C0011991,100
C0011991,6340
C0011991,3552
C0011991,1031
C0011991,5122
C0011991,5788
C0011991,6499
C0011991,6833
C0011991,4175
C0011991,3718
C0011991,6557
C0011991,175
C0011991,1027
C0011991,4221
C0011991,51604
C0011991,1440
C0011991,50674
C0011991,9401
C0011991,5897
C0011991,710
C0011991,10320
C0011991,10195
C0011991,4645
C0011991,5257
C0011991,326
C0011991,8694
C0011991,4830
C0011991,11181
C0011991,6772
C0011991,4669
C0011991,1026
C0011991,4057
C0011991,2984
C0011991,5373
C0011991,5697
C0011991,3988
C0011991,3938
C0011991,6929
C0011991,4358
C0011991,6718
C0011991,973
C0011991,1493
C0011991,930
C0011991,204
C0011991,959
C0011991,6335
C0011991,9652
C0011991,23417
C0011991,3758
C0011991,3106
C0011991,9420
C0011991,51128
C0011991,4689
C0011991,55630
C0011991,6550
C0011991,4306
C0011991,915
C0011991,10560
C0011991,210
C0011991,3507
C0011991,6476
C0011991,3767
C0011991,5244
C0011991,6338
C0011991,1380
C0011991,7535
C0011991,1789
C0011991,6927
C0011991,9056
C0011991,1644
C0011991,3440
C0011991,3575
C0011991,6448
C0011991,3145
C0011991,7276
C0011991,3423
C0011991,4598
C0011991,6337
C0011991,3172
C0011991,5896
C0011991,5295
C0011991,686
C0011991,2799
C0011991,2592
C0011991,3557
C0011991,1674
C0011991,5979
C0011991,551
C0011991,8647
C0011991,4351
C0011991,7351
C0011991,3932
C0011991,23495
C0011991,11280
C0011991,29851
C0011991,1374
C0011991,5205
C0011991,695
C0011991,7253
C0011991,1371
C0011991,7132
C0011991,29760
C0011991,5651
C0011991,974
C0021359,7044
C0021359,283417
C0021359,2516
C0021359,3973
C0021359,8653
C0021359,1617
C0021359,117144
C0021359,2796
C0021359,122042
C0021359,57119
C0021359,6795
C0021359,3623
C0021359,2488
C0021359,5618
C0021359,25981
C0021359,6674
C0021359,5241
C0021359,5619
C0021359,117155
C0021359,1618
C0021359,8287
C0021359,347688
C0021359,2100
C0021359,3972
C0021359,89869
C0021359,5620
C0021359,57135
C0021359,5617
C0021359,7784
C0021359,1588
C0021359,2492
C0021359,3640
C0021359,7783
C0021359,283120
C0021359,261734
C0021359,83844
C0014335,3676
C0014335,3595
C0014335,9966
C0014335,4680
C0014335,51079
C0014335,144811
C0014335,54106
C0014335,3588
C0014335,7099
C0014335,8807
C0014335,3569
C0014335,55765
C0014335,6584
C0014335,3663
C0014335,3587
C0014335,149233
C0014335,9354
C0014335,345611
C0014335,1401
C0014335,4583
C0014335,7133
C0014335,5243
C0014335,6556
C0014335,55054
C0014335,64127
C0014335,3240
C0014335,3553
C0014335,10068
C0014335,3586
C0014335,7124
C0014335,50506
C0014335,6583
C0014335,6868
C0014335,11262
C0014335,9231
C0003113,23435
C0003113,2521
C0003113,7415
C0003113,2737
C0003113,25978
C0003113,5663
C0003113,23583
C0003113,203228
C0003113,353116
C0003113,29110
C0003113,8557
C0003113,6382
C0003113,5155
C0003113,3347
C0003113,28954
C0003113,279
C0003113,2896
C0003113,43
C0003113,4137
C0003113,875
C0026821,5216
C0026821,5446
C0026821,4744
C0026821,23435
C0026821,2043
C0026821,3315
C0026821,2521
C0026821,7415
C0026821,779
C0026821,6311
C0026821,9782
C0026821,1376
C0026821,487
C0026821,859
C0026821,23479
C0026821,25978
C0026821,3178
C0026821,6647
C0026821,54209
C0026821,5445
C0026821,29110
C0026821,23025
C0026821,2556
C0026821,844
C0026821,2717
C0026821,29978
C0026821,22880
C0026821,9217
C0026821,1282
C0026821,6606
C0026821,3939
C0026821,8878
C0026821,367
C0026821,4000
C0026821,4618
C0026821,283
C0026821,1145
C0026821,5444
C0026821,5630
C0026821,846
C0026821,10891
C0026821,2066
C0026821,9896
C0026821,4287
C0026821,2673
C0026821,10133
C0026821,3758
C0026821,6559
C0026821,1763
C0026821,3094
C0026821,1756
C0026821,6557
C0026821,6786
C0026821,6329
C0026821,1639
C0026821,1610
C0036572,57030
C0036572,2247
C0036572,3912
C0036572,2752
C0036572,3064
C0036572,3456
C0036572,4722
C0036572,767
C0036572,6576
C0036572,10084
C0036572,2937
C0036572,10243
C0036572,24137
C0036572,7355
C0036572,54209
C0036572,4644
C0036572,51
C0036572,10815
C0036572,1593
C0036572,6197
C0036572,889
C0036572,4337
C0036572,4210
C0036572,7841
C0036572,51761
C0036572,4729
C0036572,2067
C0036572,788
C0036572,23230
C0036572,23141
C0036572,6833
C0036572,1141
C0036572,4715
C0036572,5193
C0036572,6559
C0036572,6638
C0036572,5378
C0036572,9487
C0036572,9990
C0036572,1814
C0036572,6598
C0036572,4221
C0036572,23096
C0036572,51604
C0036572,594
C0036572,7436
C0036572,1716
C0036572,9401
C0036572,22854
C0036572,8242
C0036572,2572
C0036572,10295
C0036572,5743
C0036572,6748
C0036572,10743
C0036572,790
C0036572,1718
C0036572,2904
C0036572,7314
C0036572,55670
C0036572,8722
C0036572,23209
C0036572,5076
C0036572,25915
C0036572,6750
C0036572,593
C0036572,6900
C0036572,2260
C0036572,5830
C0036572,10686
C0036572,9759
C0036572,23314
C0036572,1807
C0036572,53834
C0036572,8892
C0036572,3329
C0036572,6335
C0036572,6529
C0036572,477
C0036572,8260
C0036572,1392
C0036572,11041
C0036572,1352
C0036572,9581
C0036572,23229
C0036572,3106
C0036572,6496
C0036572,5723
C0036572,9227
C0036572,4720
C0036572,23418
C0036572,275
C0036572,5195
C0036572,26580
C0036572,4208
C0036572,10716
C0036572,1137
C0036572,1244
C0036572,7048
C0036572,359
C0036572,3614
C0036572,1340
C0036572,2022
C0036572,5160
C0036572,3073
C0036572,4094
C0036572,147
C0036572,23556
C0036572,54941
C0036572,5048
C0036572,5155
C0036572,4436
C0036572,54982
C0036572,6927
C0036572,57534
C0036572,7846
C0036572,27030
C0036572,36
C0036572,6448
C0036572,3028
C0036572,22845
C0036572,3423
C0036572,50814
C0036572,60
C0036572,3158
C0036572,51741
C0036572,4893
C0036572,4598
C0036572,9939
C0036572,25914
C0036572,25836
C0036572,4852
C0036572,617
C0036572,6595
C0036572,8050
C0036572,3295
C0036572,23746
C0036572,4504
C0036572,6697
C0036572,2670
C0036572,9096
C0036572,2132
C0036572,6323
C0036572,35
C0036572,207
C0036572,9526
C0036572,11235
C0036572,471
C0036572,673
C0036572,1268
C0036572,6908
C0036572,1374
C0036572,2068
C0036572,54805
C0036572,8086
C0036572,4621
C0036572,55572
C0036572,3553
C0036572,8573
C0036572,22934
C0036572,7020
C0036572,3712
C0036572,54539
C0036572,440
C0036572,1812
C0036572,1373
C0036572,410
C0036572,2741
C0036572,1120
C0036572,5290
C0036572,10667
C0036572,93183
C0036572,7157
C0036572,55624
C0036572,7469
C0036572,5274
C0036572,4723
C0036572,57468
C0036572,6547
C0036572,7319
C0036572,6519
C0036572,9409
C0036572,2717
C0036572,6389
C0036572,3766
C0036572,4758
C0036572,5813
C0036572,5053
C0036572,4693
C0036572,9968
C0036572,5631
C0036572,7249
C0036572,224
C0036572,4709
C0036572,4803
C0036572,9742
C0036572,2074
C0036572,8799
C0036572,1193
C0036572,4126
C0036572,50484
C0036572,3769
C0036572,7466
C0036572,7337
C0036572,10585
C0036572,885
C0036572,2263
C0036572,2348
C0036572,6899
C0036572,2737
C0036572,5873
C0036572,18
C0036572,2483
C0036572,51091
C0036572,4548
C0036572,7287
C0036572,8398
C0036572,4256
C0036572,3786
C0036572,2073
C0036572,55704
C0036572,6262
C0036572,11284
C0036572,10472
C0036572,6664
C0036572,6752
C0036572,9247
C0036572,26040
C0036572,6834
C0036572,8890
C0036572,9640
C0036572,1355
C0036572,2203
C0036572,2009
C0036572,8929
C0036572,5105
C0036572,3351
C0036572,4854
C0036572,5476
C0036572,2998
C0036572,4534
C0036572,6334
C0036572,51738
C0036572,3758
C0036572,5192
C0036572,3000
C0036572,2571
C0036572,5538
C0036572,3785
C0036572,488
C0036572,5518
C0036572,7248
C0036572,3418
C0036572,5009
C0036572,4864
C0036572,26227
C0036572,1139
C0036572,34
C0036572,8813
C0036572,1376
C0036572,1641
C0036572,5663
C0036572,3767
C0036572,1136
C0036572,6648
C0036572,5604
C0036572,183
C0036572,5428
C0036572,5091
C0036572,5230
C0036572,26275
C0036572,3141
C0036572,2776
C0036572,4668
C0036572,3796
C0036572,10564
C0036572,4724
C0036572,3145
C0036572,7276
C0036572,229
C0036572,2033
C0036572,29926
C0036572,51360
C0036572,4952
C0036572,7280
C0036572,7200
C0036572,1917
C0036572,5095
C0036572,51317
C0036572,51204
C0036572,132
C0036572,3172
C0036572,3756
C0036572,5528
C0036572,2799
C0036572,5096
C0036572,686
C0036572,1130
C0036572,6392
C0036572,10577
C0036572,8517
C0036572,11277
C0036572,215
C0036572,3569
C0036572,27445
C0036572,10280
C0036572,5660
C0036572,2517
C0036572,3952
C0036572,8820
C0036572,25974
C0036572,590
C0036572,2563
C0036572,2710
C0036572,2629
C0036572,249
C0036572,2653
C0036572,10157
